Date,Swap,Forward
05/02/2019,0,2.566002203
08/02/2019,2.59061332,2.538498315
11/04/2019,2.576354813,2.501468291
02/03/2020,2.559493188,2.468945801
05/05/2020,2.542593298,2.380368127
08/03/2020,2.515043518,2.326303899
11/02/2020,2.487191194,2.273510969
02/02/2021,2.459315005,2.221198187
05/04/2021,2.432024597,2.272999306
08/02/2021,2.416762521,2.248396268
11/02/2021,2.401722931,2.220479082
02/02/2022,2.38683642,2.193125959
05/03/2022,2.372417872,2.299449669
08/02/2022,2.368336122,2.301762865
11/02/2022,2.364973209,2.2954289
02/02/2023,2.361629169,2.289011623
05/02/2023,2.358410733,2.37765649
08/02/2023,2.360801818,2.388424678
11/02/2023,2.363538232,2.392777938
02/02/2024,2.366219432,2.396760395
05/02/2024,2.368788705,2.4736611
08/02/2024,2.374909164,2.488209091
11/04/2024,2.381268164,2.4981104
02/03/2025,2.387324159,2.507680602
05/02/2025,2.393087215,2.549304033
08/04/2025,2.400495877,2.562419822
11/03/2025,2.407625854,2.573386667
02/02/2026,2.414641979,2.584035073
05/05/2026,2.421620126,2.6359976
08/03/2026,2.429768375,2.649120935
11/02/2026,2.437910087,2.66112367
02/02/2027,2.446008988,2.672733308
05/04/2027,2.453889872,2.701349732
08/02/2027,2.462078835,2.713552683
11/02/2027,2.470332041,2.725080976
02/02/2028,2.478448517,2.735915557
05/02/2028,2.486257231,2.779560446
08/02/2028,2.495013556,2.793652438
11/02/2028,2.503686573,2.805115605
02/02/2029,2.512213688,2.815687805
05/02/2029,2.520325003,2.814804409
08/02/2029,2.528274782,2.823902946
11/02/2029,2.536065997,2.833774161
02/04/2030,2.543885386,2.842843405
05/02/2030,2.550996432,2.851215736
08/02/2030,2.558385526,2.860055446
11/04/2030,2.565797836,2.868101329
02/03/2031,2.57284252,2.875869918
05/02/2031,2.579533496,2.855869171
08/04/2031,2.585961632,2.860647738
11/03/2031,2.592033798,2.866749049
02/02/2032,2.597990509,2.872571344
05/04/2032,2.603896526,2.878178903
08/02/2032,2.609562324,2.88339813
11/02/2032,2.615240926,2.888465818
02/02/2033,2.620806409,2.892985638
05/03/2033,2.626142631,2.897713216
08/02/2033,2.631430458,2.9019588
11/02/2033,2.636667533,2.906001078
02/02/2034,2.641796379,2.90938558
05/02/2034,2.646656144,2.816988383
08/02/2034,2.649955892,2.811776311
11/02/2034,2.653062227,2.813042088
02/02/2035,2.656089958,2.813792422
05/02/2035,2.658945081,2.815038742
08/02/2035,2.661821019,2.815809425
11/02/2035,2.664621238,2.816645283
02/04/2036,2.667405121,2.816881855
05/02/2036,2.669941478,2.817391105
08/04/2036,2.672577128,2.817323736
11/03/2036,2.67505712,2.817327183
02/02/2037,2.67746764,2.817189689
05/05/2037,2.679834939,2.816910463
08/03/2037,2.682083829,2.816503797
11/02/2037,2.684291264,2.815961248
02/02/2038,2.686455924,2.815175718
05/04/2038,2.688531625,2.814481785
08/02/2038,2.690521354,2.813569391
11/02/2038,2.692491234,2.812514501
02/02/2039,2.694397208,2.811133425
05/03/2039,2.696200737,2.763292046
08/02/2039,2.697377383,2.758130934
11/02/2039,2.698472671,2.756100555
02/02/2040,2.699516258,2.753791218
05/02/2040,2.70048783,2.75181354
08/02/2040,2.701431274,2.749514111
11/02/2040,2.702325161,2.747311232
02/04/2041,2.703188027,2.744604593
05/02/2041,2.703941838,2.742192323
08/02/2041,2.704692782,2.739742534
11/04/2041,2.705411708,2.736797392
02/03/2042,2.706061813,2.734043821
05/02/2042,2.706648174,2.731487276
08/04/2042,2.707229218,2.728321098
11/03/2042,2.707747783,2.725355557
02/02/2043,2.708223755,2.722322914
05/05/2043,2.708662288,2.719190493
08/03/2043,2.709050375,2.716063191
11/02/2043,2.70940223,2.712839466
02/02/2044,2.709717114,2.709435467
05/03/2044,2.709988773,2.70617539
08/02/2044,2.710221428,2.702774649
11/02/2044,2.710417576,2.699279962
02/02/2045,2.710575027,2.695486323
05/02/2045,2.710691064,2.692244494
08/02/2045,2.710774065,2.688590083
11/02/2045,2.710820061,2.68488481
02/02/2046,2.71082961,2.680893029
05/02/2046,2.71080468,2.677452184
08/02/2046,2.71074412,2.673604397
11/02/2046,2.710648721,2.669866222
02/04/2047,2.710515817,2.665688243
05/02/2047,2.710361379,2.661925088
08/02/2047,2.710165691,2.658057225
11/04/2047,2.709931898,2.653756925
02/03/2048,2.709673474,2.649702165
05/05/2048,2.709380609,2.645565386
08/03/2048,2.709063836,2.641483227
11/02/2048,2.708713565,2.637321322
02/02/2049,2.708329271,2.633006748
05/04/2049,2.707919769,1.854890282
08/02/2049,2.701054309,1.820573939
